     # #  # ##   #   #       #       #   #   #   #         # ##    #   # #  #     ###     ##  ## #  
 # #     #     #   # # ## ##   ## ##   #   ##  #   ########     # #  #     #  ###  #  ###   #      #
 #  # # #  ###### #    # #  # # #   ## ####   # ## #      # ## ###  #  # ##  #   #   #   ##  # ###  
  # #  ## #    # #  ####   #    ###   #     # # #  # # ##   #   #  #  ##    ### # # #  ##   #  # # #
 #  # #   # ## #  ##    # # ## #    ##  ###  #  # ##  #  ### # ## #  #  #### #     #  # # ##  Z  #  
  #  #  ##   # ##    ## # #   #  ## #  #   ##  #    #  #     # #  # # # #      ###   #    #  # #  # 
# ## # ##  # #   # ##   # # #   #  #  #  #    #  ##Z##   # ##  # #  #     # ###    # # ### # #   ## 
#  # #   ##  ###   #  #   # ### # ## #  ######  #   # # ###   ##  #  # # # #   # ## #  #     ## #   
  ##  ##  # #   # # #  ####   #   #  # # #   # #  #   #  #  ##   # # # # # # #      # #  ## #    # #
 #   # ##   # #  ##   #    ##  ## # #  Z # # # # # # ###  #  # ### # # # #    #######  #  #  # #   #
 # ##    ###  # #   ##  ## #  # # # ##   # # #   # #  ## # # # #   #  ## # ## #       # #  #  #  ## 
 #    ##   ##  #  ##   # #   ##   #  ## #  # ## #   #      #    # ###Z#  # # #  ######   # ## # #   
  #Z##   #  ##  # #  ##   # #   ## #  # # ##   ## # ### ##  ###   ### # ## # # #     # #    # #  ## 
# #    # ##  ##   # ### #  # # #   ## # # #  #    #    ## ##   ##  #  # #    #  ## ###  ####   #    
### # #    #  # ###  #  # #  #   ##   # # # #Z#### # #     # # #  ## #  # # ## #   #   #   # # #### 
#   # # ## ###  #  #  ##    ### #   ### #  # #      # ####   # # #   ## ## # Z # # # # # #   ##   # 
  ## #    #    #  # #  # # ###  # ##    # #   ## ###      # #  # # ## #    # ##   #   #  # #  # #  #
 ##    # #  # ###    # # #  #  #  #  ## #   # ##   # Z# ####  # #  #    # #  # ##   #  #  # # #  #  
 #  ###  # # # #  ## # # ###  ###   ###  ## #   ## #  #   #  #   # # # #  # ##   #Z# #  #   ## # ## 
 # #   # # #    #   #  #     # # ### #  #  #### #    # ## # #  # #  ## # ##    # #   # # ##       # 
  #  #  #    ## # # # #  ## #      #   # #  #   # ###     #   #   #   #    ### # # #  #    ###### # 
 #  # # # ### # # # # # #  #  ## #   ##   # # ##    # # # Z### ## ###  ###   ##  # ## # ##      # # 
   ## #  #    #   ##  #  # # ## # ###   #   #  # #Z # ## #   #  #     #   # #   #   #    ###Z##  ## 
 ##   ##   ### ##  # #  #  #         #Z# # # #  # # #     ##  # #### #  #   # # # #  # ##   #  #    
 #  #   ##      ## # # ###  #### ## #    #   ##    #  ###   ##      #  # ## #  #   #  #   # ##  ### 
  #  Z#  #### ##   # #  ###    Z  ##  # #  #  ####Z##   # #    # ## Z #     # #  #  #   ###   #     
# ##   #    # #  ##   #  #  ##  #    ##   #  #   #   ##  # #### #Z ##  # ###  # #  # ###   # #  ####
     ## ## #  # #  # ## #  #  #Z ####  ###  #  #  ##  ##   #      #  # #   # #   ##      # # # ##   
#### #    #  #    #  #  # #  #  ##   #    #  #  #   #   ##  # #### # #  ## #  ##    #######  # #  # 
  ## # ###   # #   z ##  # ####    # # ## ##   # # # ## ######  ## #  # Z#  ##   #  ###  ##  ##   # 
 #      # ## # ####    #  #     ##  Z        ###   #   #    ### #   ### # # ####  #    #  # #  # ## 
 #### #   ## #  z # ##   #  ### ## #  # # Z##    ## ## z# #  ## # #     # #  # ##  # #  # #  #  ##  
     # # #   ## # #   # #  #Z #   #  #  ##    ###    # #   #    #  # # #   # #   #z # #    #  #    #
 # #   # # ## Z #  ##  #z# # # ##   # #z   # #    # Z#  ##  # ### # # #  # #  # ## #   ### ##  # # #
 ## # #  #  # #  ##  #  #      # # #   # ####  # #    #   #  #    #    # #  # #    # # #    # #  #  
#      ## # #  #    # # ##### #  z#  # # # #  ##  ### # #  #   #### ##  # # # ### #  #  # ##  # # # 
  ### #   #  # ####   #      #  #   #  # #   ## # #    ### # ###    ###   # #    #  # #  #   ## Z # 
 #   #  # ## #     # # #### #  # ###  #  # ##   #  ###  #  #     # # # ## #  # #  #    #  # #   #   
 # # # ##  #  # ## #      #  # # #   #  #  ### # #   ##  # #####  #    #    # ##Z  ### Z##z # # ####
   # #   # ##   #   ## # #  #  #   ##  # #  #     ##   # #      ##  # z# # #   #  ## #      #  #    
 # #  ## #    ## ###   #  #  #  # #   #   #   # #   ##  # #####   # #    ##  # # #    ### ## # # ## 
  #  z## ### #       #### ## # #    ##  # ## #  ###   #        ## #  # ##   ## # # ##   ##     #  # 
### # #     #  # ####  #   # #  ####  #  #    ##  z# # # ## ##  # ###   # # # z#   # # #   ###  # # 
    #   # # # # Z    #   ##z  # #    ###   # #   # # # # #   ####    ## #  #  # # #   #  # # # ## # 
 ##  # #   #  #   # #  ##    #  # ##  #  ## #  ##  #   #  # #    ### # # # # ##   # #  #  #  #    # 
   #  #  ##  ## #  #  #  # ##  #  #  #  # Z  # #  # ##  #  #  # #    #     # #  ### # # #   # # ##  
 #### # #   #    ### ### #    #  # #  #  # Z # # #     # #  # #   ## # ####    #    #    # #  ##   #
   #  # ## #  # #    ##   # ##  #  # z## # #   # ## # #   # # # ##  #  #  # # #  ###  # Z  # #   #  
 # ###   # ##  #  # #   # ##  #   #  ##  # ## ##   #    ### #  # ##   #  z   #  #  # ###  #  # ## # 
 #   # # #   #   # #  # #z   #  ##  #   ##   z  ##  # # z   ## #    ##  ## # # ## #Z  Z  # # #  #   
 # #   # ## #  ##    #   ## #  # # #  # # ## # #  #  #  # ##   # # #  #     #  #  # ##  #    ##  ## 
#  #### #   ##   ####  ###   #   #   ## #  Z #  #Z# #  #  ## ##  #   ### ## # ## #  #  ## ##  ##   #
  #     # ##  # # z  ##    #  ##  # #   # #  ##      ##  #    # #  #  #    #      # # #     #   Z#  
#  # Z# # # # #   ## #  # ###   # ## ##   # #   # ##    ## ###  Z#### # # #  # # ##    ###### # # # 
  #  #  # #    # # #  #  # #  #  #     # #  # # #   # ##   #   #   #  #  #  # ##   ###       ##   # 
 ##### #  # ##  #    # # #   # #   # #  #  # ##  ####  # ### ##  #   # ### #  z ## #  # ####    ##  
 ##    # ## ###  # # #   # #   #### # # # #    ##    # # #    # # # z#     # ##  #   # #    # #  # #
    ## # #   #z#  #  ## #  ####   #   #   # ##    ##Z# #  # # #    #   ### # # #  ##   # ##  # ###  
# #  # #  ##  # #   # #  ##     #  # #  ##  # ### #  # # #   # ## ## ##   #  #   #  ## #  ##      # 
  ##zZ###   #    ###    #   #### # # # #   #  #  #  #  z # ##   #    #  # # #  ##  # z ##   # ###   
 #  #  # # # #z #   ### # ##     # #   # ## #Z  ## #  ##  #   # # # # ##  #  # #  #  #  # #  #   ## 
   # #   # #    # #     # #  ## ##  # #  #    ##   # #  #  # ##  #  #    #  #  ##   # #  #  #  # #  
 #    ## #  # # #  ## # #   ##    # #  # # # # # #z   #  # #   #  #   ###  ## #   ##    #  #  #  # #
#  ###   z#  #   #  #  # Z##   ####  ##  ##    #  # #   #  ###  z  ###    #   # ##   ###  #  #  #  #
  #   # #  #  # #  # #      ## #   #    #   ### #  # Z#  #     # #     ###  ## z# z#    #  # ## # # 
 #  #  ##### #   ##   # ####   # #  # # # # #    # # #  # #####  ## ###  ## # #   ###z##  # Z  #  # 
  # ##  #    # #  # # # #    ##Z  #  #    ### ##   # # #Z #    #   #    #   # # ####   # #  ## ## # 
# #   #   Z # # #   #   # # #    #  #  ###    #  ###   ## # ##   #   ## # ##      #  #   Z## #    # 
   ##  ### ##   # # ### # #  # z# # # ##   ###  #   # #   #   #####z#   # # #### #  # # #     # ## Z
 # #  #       # #  #   #Z  # #  #    #   ###   ## # #   #z## ##  #  # # # #    #  # #  #  ### #    #
 ##  # #### #  # # # #   #  ### ####  # #   ## #  #  ##Z#  #   #   ##  #  ## #  # #  #   ##   ####  
#   ##    #  ##    #  ##  #  ##     #   # # #   #  #   #  # ## # #   #   # #  # ####   ##   ##    # 
  ##   ##  #  #z# Z# # # # #   #### ## #  #  ### #  ## # #   # # ## ######   ##   #  # # # #   z# # 
#   ## # #  z # ##   # #    # #   Z   #  # #      # #  # # # # #  #  #     ##  #z Z #  # #   # ##  #
# #    #  # #   Z# ##  # ## # # #  Z#   #   # ###   # #  # # #  ##  #  # ##   ###  # #   ####    #  
   # #   #  ## # #  ## # # z#  ## #  #Z#  #  #   ###  # Z  #  # #  # # #   # # # #    ###    ###### 
 ###  # #  #    # #  # #     #      #    # #  #z    # #   ### #  # #    ## #      # #     ##     ## 
#   #  #  #  ##Z    #   # ##  # # #   ####  Z # # ##  ###  # #  #    ###   # ### # #  ####  # ##    
  #  ##  ### #   ###  #  ####  ### # ##   # # #     #   #z   # #  ###   # #  # # #   #   # # #  # z 
#  #  # ###  # ##   # ##  ## #  #   #   # # #Z### # ###  ## #  ####   # #  #   #  # #  #      #Z #  
  # # #  #  #  #  #    # #    #   #   # # # #    #     #  # # #     ###  #  # # #  #  ##### # # #  #
 #  #  # # ## #  ##### # # ##  # # #####  #  # #  ## #  # ##  # ####   #  # #    #  #  #  # #   # # 
 z#  # # ##   # # z  #  #  ###   #    Z  # #  # # #   # #  # #  #  # #   #  ## #  #  # # ##  ## #   
 #  ## #   # #  #  #  # ##  #  ## # #   #Z   #     # ## ## #  #  #  #  ##  # #  ##  ##   # #  ##### 
  # #  # # #  #  #  # #   # # #    ## ##   # # ####  #   #   # #  #   ##  #    #   #Z ##z#  #   #   
 #    ## #  #  #  #    # z   #  ## #     ##  # #    #  #  #Z#   # # ##   ### ##  #   # #   # ##   ##
 # # ##  # # #  # # ## #  # #  # #  #####   #  # # ## # #   ## #  #    ## #    #  ###  ### #   #### 
  #  #  #    ## # # ##  # #   Z# z# #    #### ## # #  # ###  #   ### ##    ####  #   #     ## #     
#  #  ##  # #   # ##   ##  # #   #  # ## #    #  #  ##     #  # # # # # ##     # # #  # ###   # ## #
## ##    ## # ###    # # #  #  #  # #  #   ### ## z    ###  # # #      #### ## #    # # #   ##   #  
##   #####  # #  ## #z   ##   ####  # # # #       ######   #  # # ## #  ###  #  # # # #  # #   ##  #
#  #z     ###  #  #  ####   ## #   ## #  # ## # #        # # #   #    #  #  # # # ##   # #   #### # 
  # # ###    #  #   #   # # #    # #  ##      ## # # #### #  ###  # # # #  #  # ##   # # # #   #  Z 
 ##  #   ## #  #  ##  # #  #  ###   #   # # ##    # #       #    #  ##    # #      #  ## # ### # ## 
 Z  #  #  #   ## #   #  # #  #   ### ##  #  # # ##    ## # # # ####   ## #   # ## # ##   ##   #  #  
### # # #  ###    # #  #  # #  Z #      #  #    #  ###  # #    # #  #   ## # #z  #     ##   #  # # #
    # # # #   # # # # #  #  ## #   ###zz #  # # # #  # # z  # #    #  ##   #    ## #### # ####   #  
# ##Z #   # ###  ## #  #  #     ###        #   #  ##     #### # ###  #   #  ### #  #  #   # # ##  # 
  #  ## # # #   #    # # # #### #   # ## ##  ##  #   ####Z    #   # ## ######   # # # # # #    ##  z
 # #   #  #   # # ###  #   #   #  ## #  #  #   # ## #    # ### # #     # #    ##  #     # ## #  ##  
 #   #  # # #  ## #   # # #  #   #     #  #  # #   ## ##   #   #  ### #  # ##  # ## ## ##  # ##   # 
  Z# ## #  #  #   # ##      # ###  Z #   #  #   ## #  ### # # # #    #  #   ## #   ##    # #   # ## 
# z   #  # # #  ##   # # ###  # # ##  # #  # # ### # # # #  z   ####   #  #z ## ##   ### #Z# #  #   
   #### #   ## # # #  #  # # #      #  ## #z # ##    #   # ### #   ### ##  ##     ##   ##  # ## # ##
 #      # #    #    #   #      # ##  #       #    # # z#     #   #       #    # #    #    #   #     


 # #   #        #  ##   #    #    ##      #      # #  # #   #   ###         #  #   #   #       #   #
     # # ### ## ##    # ## ##  ##    # ## # # # #   #    #z   #  #  # #####  #   #   #  # ## #   #  
 ## # ##   #  #  # # #     #  #   ####   #  #  ## #  # z    ##  #  #Z #     #  ##  ## #  Z#  # ##  #
 #  #   ##  # ##z##  #####  #  # #    ## ##  Z     #    ## #Z #  ###  ## ### # #  ## z #   # ##  #  
 # #  #   # #  #   #      ## #z Z  ##  #   # ### ## # #   ### ## #   #   #    #z #   #  ## #   #  # 
 # ##  ## Z ##  ##  ##### #   # ###   #### #    #    # ##  ##  #   # # ## # #   # ##z# # # # #  #   
 #    #  # # # #  # #   #   #       #  # # ##z#  Z #   # #   #  #####  ##    ## #   ##   # #  # # # 
 ## ## #  #  # # z#   #  ### Z ##### #   #     # #  ##    ##  #    #  #   ##  # # #   # #   # # #  #
   # #   #  #  # #  ## # #    #    # # ## ### ##  # #  # ## #  # #  #  # #   #  #  ## # # ##  #  #  
# #   # #  #  #   ##   #   ## # ###    Z  # #   # #  ##      # #  #  #  ### ####  # # # z   #  #  # 
  # #     ### # #   Z# ####   #   # # ### #  # #  ##   ### # # # # #  #  Z#Z #   #  #  ## # ##  #  #
 #   # ##  #  #  #####    # ##  #    #      ## # #  ## # #  #  #   ##  #   #   ## #  #   #    ####z 
  ##  #  # # # # #    # # # # ##z# #  ### ##   z  #    # ## # #####   #  #  ## ##   #  #  ###   #  #
# # #  #   # #   ####  ##   #     #  #   #   #  #  z ##   # #  #    #  ## # #     z  ## #    ##   # 
# # ##Z # #  # #    ##   # # # ##  ##  #   ##  # # #  # #    # # ##  #    # ### #Z #     ### #  #   
  #   # #  #  #  ##   ##  #    # # #  # ###  # Z #  # # #### # #   #  # # #Z   # #  ## # # #  ##### 
 #  #   # # #  #  ###   #  # #   Z   #     #     ##   #     ##  ##  ####   ## #   #   #  # ##   #   
 # # ## #    #  ##   ##  # #  ##  ## # # # # ### z # # # ##ZZ #  ##   #  ###  # #   # # #    ##  # #
 # #  #  ###  #    # # # #   #### #   #  # ##   z #Z#   #   ## #  # # # ##   #   ##  #   #Z # ## ## 
 #  #  # #  # # ##Z  Z   # #  ##  # # # ##  z #  #   # #  ##    # # #  Z   ## ##   ##  #    #  #    
  # #Z #  # #  #Z   #  ## #  #   #  # #   #    #   #   Z# #  ## # # # #  ##      ##   # # #  #  ### 
 #  z  # #  ZZ  # ##  #     ## ## #  # ## ##### # # ###     #   z  #  # #  ### ##   ###    #   #    
 # # # # # ### #    #  # # #   #   # # ##        #    # ####  ####  # Z ##   #    ## z ## ##### Z## 
  #   #  #  Z   # ## # #z##  ##  # # #   z##### #  ##  #    #   ## ## ## # # #Z# ### # #   #    ##  
# # ### ## # ###  #  #   #  #   ##   # #      #   #### # ##  # #   #  # z  #  #   #  # ##### ###   #
# # #   #  ##   # # ####   ## ##  ##z#  # ## # ### ##  #  ## ##  #### ### # # # ##  ##       #  # ##
  # # #  ##   #   #  # ## #   ###   # # # z    # #    # #  #    #  #      # #  #   #  ####### # #  #
#  ## # #   ## ### #     # #z  # ##   # # # ###    ###   #  #### #   #####    ## ##  #           #  
  #    #  ### z# # # ###     #     ##   # ##    ## #z  Z### #     # ##   # ###   # #  # # #### #  # 
 #  # #  ##   #    # Z  ## #  ####  # # #  # # ## #  #   ##   ###  ##  # # #   ##  ## #  #   # ###  
 ##  ## #   ##  ## #  #   #  ##   #  #  ## #  #    ##  #   ####  Z #  #      ##   #    # # # #    # 
    #   # ###  # #  #   # # #   #  #  #  #  #   ##   #Z# #     # # ##### ####   ### ## # # #  # z # 
 #### ##  #   #   # # #  #    # ##  #  #  #  # # # #  #  ### # # #    #  #    ###   #  # # # # #  # 
#     # # # ### # # #  # # ###    #  # # ###  #   ### # #    #   #### # #  ##   z ### #z #  #  # ## 
  ####  #   #   # #  #  ## #   ## # #  #  # # # #  #  ##  # # #Z    #  #  #  #####    # #  #  #  #  
 #     #  ##  ##  # #  #   # #   #  # #  #    #  #  #    # #    ###  #  #  #     # ## #  #   # # # #
  ## #   #  #   #   # #  ## # # #  #  # #  ## # # #  ####  # ##   # # #  # # # # # ### #   # # # #  
#   ## # ##  ##  ###   #       #  ## #  # Z  #     # #   #     # #    ## #  ## # #  #   # #    #   #
  #   ##  # ## #z    #  ###### # ##  ####   #  # ##    # # # ### # # #   ## #  #  #   ## # # ## # # 
 # ## # # #     ####  # #    #  #   #    ##  # ##   ## ##   #    #Z #  ##     # ##  # #    #     #  
    # #     ## #    #  #  ## # #  ##  ##  z ##  # #   #   ##  ## # #  #   ## ##    #### ##  #### # #
Z ###  #####  #  ## # #  #   #   #### # # #z  # #  # #  ## # #  #   #  # ## #   # # #   #  #   #    
 #   # #    # # #   # # #  # ## # ### #   # ##   # # # #   #   ## #  # # #  # #  #    ##z ## # #### 
 # #   # ##     # ##   # # #   #   #  # ##  ## # #  ##   ##  ##   ## # #   #  # #  # # # #   #    # 
    # #    ### #  # # #     # #  #   #  #  #    # #   # #   # # ##  #  ## ###  #  #z# z#   ### # #  
 #### # ##    #  ##     # ##   # # ##  #  #  # #   # ## # #   #    ## # #  #  #  # #  # # #     #  #
     #  # # ### #   ## # #   # # # # #  #  z  #  z #    # # ##  ###   #  ##  # # #   #  # # ####  # 
####  # #  #    # ##  #   # #  ### # # ###  # # ##  #####  #   #    ## #  # #Z #  # # # #  #    z#  
     z    #  ###   # #  #  #  #    #    ### # #   #      #   Z# z###   ##      ## #      #  # # #  #
 ## #  # ## #   ## # #Z  #  #  # ## ###  #  #  ##  ### #  # # # #    #  # ## ##   #### ## # #  #  ##
   #  # #   # #  # #   # ## # #  #     #   #  #Z #    ## #    #  # ## # ##   #  ##  Z  #    ##  #  #
 ##  #  # Z## # #  # # #  # #   #  # #  ## # #  # ### #  ####  # Z  # #  # # # #   # # # ##  ##  #  
  # #  #  #   #  #  ##  # #  ##  #  # #   ##  #     z # #   # #  ## #  #    #  # ## #  #   #   #  # 
# #  # # #  ## #  #    ##  #   #  #    ## #  ## ## #  # # # ### # # ## ### #  #  ##  # # #  # #  #  
#  # z #   #    #  ### #  # ##  #Z  ####  # #    # # #  # #     #    #     # #  #   #   ###  #  #  #
  #  # ### # # ###    ## #    #    #     ##  z# #  #  #   #### # # # # ##### # Z  ## ##  #  #  #  # 
 #  #     #  #  # ###    # # # ####  # # # #   #  #  #  ##    #   #   Z        # #     # # # #  #   
   #  ###  #  #   #  # ##   #      # ##    ###Z  #  #  #   ## # #  ##   # #### # # # # # #   # # # #
 ##  ##  #   #  ##  # #  z# # ## # #   ###    ## # #  #  ##   #  #  ## ###    ##   Z#  #  # #       
  # #   # # #  ##  #    ###   #  #  ##    # ##   #  #z  #   #  #  #     #  ##   ###   ### #   # ####
 #    #    ###    #  ###   # #  # # # ## # Z # # ## #  #  ## #  #  ### #  ### # # # ## ##  #z# #    
  # #  ###  ### ##  #  # # ##  z#   #  # ## ## #  # # # z ##  #  # #  #  # #  #   # Z    # #   # ## 
#  #  #   z  #  ## #  ## #    ##  # ## #   #    # # #   #   #  # #  # # #  # ### #  #### z   ##  #  
 # # #  # # #  #     Z    ####   #      ## # ##  #  ##### #  #   ## # #  # # ##  # #    # ##  # #  z
   # # #  ##  #  ## # # z#     ## ######     Z # # #     # #  ##  # #  # # #   # # # ## ## # #  # # 
 # # # ##  # ## #  #    #  # ##         #### # ##  # ##z    #  Z##    ## #  ## # Z # ##     #  #  # 
#  # #   # # #  ##   ### ##  #  ####### #   #   # #  # # # #  # #  # #    #  #  #  #   ## #   ## #  
  # #  # # #   #  z##       #  ##     # # #  ###   # # #  #  #    ###  ###  Z## ##  ##   # ###   ## 
 #  # #  #  ###  ### # #####  #   z # # #  # #   ### # ##  ## ### ##  #    ####   z  # # #   # ##   
  Z    # # #    z    #      #  ### z #  # ##   # #   #   #       #   #  ##  ## # ###  #  ## #  #  ##
#  # # # #   ###  # # ##### ##   # # #z#    ###  # #### z ## ###   ##  #  #    #  ### ##  #   ###   
 # #  ##  ###  # #  #         ## #  #   # #    ##  # #    # #  ####   # #  ## # #  ##   # # #  #  # 
 #  ##   #  # #z ##   #Z## # # # # #  # #  #z#  # #    ##    #      ##    # Z #  #   ##   ## # # #  
  #    ## #    #  ## #    # #    # # #   # #   #  ### #  ### # # # ##  # #  #  #  ##   ###   # # # #
 ### ####   ##  #   #  ## #   # #    ###  #  z  #     ## # #  # ## #  #   #  # # #  ##   #Z #  z #  
  # #  #  ##  #   ##  # #   ## #  ###   #   # #  #####      # #    # #  #  #  #    ## ##  # # # Z # 
#     #  # # # # #   #    ###  # #    # ## #  ###    # #### #   ####  # ##  # # ##      #   # #     
 # # ## #      ##  ## ####    #  # ## z  #  #   # ##       ### #    #  #   ## # # #####  # #  ## ## 
   ##     #####   #     Z # ##  #  # ### z #  #   # ### ##  # # # #   #  ###  # # #    # #  #    ## 
 #    #####     #  # # ## #  # # # #  #   #  # ###     # ##      # ###  #    ## #   z#    #  ####   
#  ###      ####  ## # #  ## # #    # # ### #      ###     z## #     # #  ###   # ##  ###  # #    ##
  #    ## # #   ##    #  #   #  ## #Z #     # #####   # ##    # # ##   # #  # #  #   #   ##  # ## # 
# # ##Z  #  # #  # # #  #  ## z#   # # ## ###     # # # # # #   #  # ###  #   Z #  #   #    ##   #  
  # #  #   #  # #   #  # #    #  ###     #   ### #  #Z #   #  #  #  #   # # ###  #  ##  ###   ## # #
 ## # #  ##  ##   # # #  # ## ## #   # #  ##     # # # # # ### # # #  # #   #  #  #   ##   ##  # #  
#   #  #  # #  # # #  # ## # #    # # # #    # ##  # #   #     # #  # #  ###  # #  ## #  #   # #  # 
  ####   #  # ###  # #       # # #  #    # #  ### ##  ### ####   # #   #   # #    # #   # ## #  # # 
# # #  ## # #  #  ##  Z## ## #  #  #  ##  # #  #  #  ##   #  # ##  # # # # # # # ##  ###     ###  z 
  # # #   # # #Z #  #    #    # # #  #  #   # #  #  #   #  #    # ##  #  #   #  #   #   ## ##    ## 
 z#   # # #     #  #####  ##### # ##  #  ##  #  # #  # # ##  ####    #  #  ## #   #   ##   #  ###   
 #  #####  ####   ###   # #    z##   ## #  #  # #  Z        #    ## #  ## #    ###  ##   #  #     # 
  #   #   #    ##  #  # # # ## # # ##    # # #   # # #######Z ##   #  #     ###  # #   #  #  ###### 
# # z # #  # # ###   ###  #   #    # # #   # # # #   #     # # ###   ## ## #    #  # Z# # # #       
   #  # # #  #  # ##  #  #### # # #    ### # # #Z# ## # #z #      ###   ###  ##   #  #   #  # ### ##
# #  ## #  #  #    ##  #  # #  ## # # #   ##  ## #  #  #    # ###    ##  #  # Z#Z# #   # # #  #  ## 
   # #  ## # #####  # ###    #    #  ## #   #    ##  #   ##  #   ### #  #  ##       ###  ### ###    
 #z#   #      #   ##   # ###  # #  z     ## ##### Z # # ##  #  # # # # ## #   # ## #   #     ##  # #
#   # # ## # #  #   # #     #  #  #  # #  #       # # # #  #  #    #  #   # ###  #  ##  ##z##   #   
  ## #    # ## # ##     # ## #  ##  #   ## ## ####      # #  #  # # #   # ##   # # #   #     ### ## 
#      ##          # # #      #    #  #     #      # Z #    #  #     # #     #   #   #   # #        


 #     # # # # #   # #       #   #       #     #    # # #   #     # #      #   #    ##      # #    #
 # ###          ##   Z # # #  # #  # ###   # #   ##       ##  ### #   # ##  ##   ##   # # # #   ##  
   #  ##### ###  ###    #  ## #   ## #  ### # ##   # ####    #  # ##z###  #  # #   ##  # z#   ##  # 
 ## # # Z  #   #    # ##  # # #####  ##   #  z  ##  #    ###z  #   #  #  # #  #  # # # ##  ###  # # 
 #    # ##   #  # #  ### #  #   z  #  # # ##Z #   # # ## #    # ##  # # #   #  # #   #   #     #  # 
  ### #   z#  # #  #  #  ## #### #  #   #     ### # #   ## ##      ## # # #  # # ###  ##  # # #  #  
#   #   ##  # ## # # #  # #     ## ##### # ###   z  # # #  # ######   #    # #  #    #  # # # # #  #
 ## # ##   #     # #   #  # #z #    #     #    #   #  # # #       ## ## ###  ## # ###  ## # # #   # 
  # # #  ## ## # # ###### #  #   ##   # #   ### # # # #   # # # #  # #  # # #   # # # #   # # # ##  
# # # # #     #  #     #    # # #  ####z # #     ##  #  ##   #   #   # #  #   ##  #   # ####  #   # 
  # # #  # ##   # ##z# #Z###   #  #   #   ## # #   # # #  ##  # # ## #   z z##   #  # # # #  #  ##  
 #  #  Z#    ###     # ##    #  #   # # #   #   ## # #  #   #  #   #  ## #    # #  # ## #  # # #   #
  #  ##  Z##    # ## #Z   ### #   # # #Z ## ## #Z#   ## # #  #   # Z# #   ###    #       #   # # #  
#   #  #    ###    #  ####    ####  #  #  #  # # # ##   # # #  Z# #   # #    # ## #### #  # #    # #
  ##  z## # #  ###  # #    ##     #  #  #  #   #    # ##  #   #     ## # ### #   z    ###   ### #   
 ## #  # #  # #   #  #  # ## ## #  #  # # #####z ###  #  # ###  ####     # z ###### #  #  ##   # # #
 #   #   # #    # ##  #  #     # z  ##  #  #   #Z  # # # #     #    # ##   #       # #  ##   # # #  
   # ## #    #####   ## #  # #    #    # #   #  ## #    #  zz #  ##  #  # # ######Z  ##    ##  #  # 
## #  Z   # #   #  # #  # #   # #  # ##  # ### # # z# # # ### # # ##  #     #     ##   # #z#  #  #  
  # # # #  ## #   z  z Z   ### # #  # # #  #   #     #  # ##  # #   #  z###   # ##  ##  #    #  ## #
 #   z# ###   # z #### # #   Z   ###    # #  ## # ## # z    ##  ## #  #    # ##   #   #   ###  #    
   #Z# #    zz ###     # # #####     ##   ##  #    # # # ##    #    #   ## #   ##   ## ####   # # # 
 # ##    #####  #  #### #      #### ### ##  #  ###  #  #   # #### #  #z# #Z# #  ###    #    #   z  #
#    # ##   z  #  #       ####     # #  ###  #   ###  #  ###   #  # #    # #  z    ####  ### ##  #  
  ##   #  #   #  # Z# # ##   #### #   #  #  #  #  Z  # ##   ## # ## ## ##  # # # # #    #    ###   #
 #   ### #  ## # #     #   #     #  # # #  ## # ## ###    #  #   #     #  ##   # #   ###  ##  # ### 
  ###   ## #     # # #  ##  #### # #  #   #       #   # ## #  ### ## # # #  ##  # Z##   #   #     # 
 #    # #  # ## #   # #   #    #   # ##### # #### # #   #  ## # #     ## # #  #   #   #  # #  ####  
 # ###  # #  # ## #   #### # #  ## # ##     #   #   ###z##    #   # ##   #   #  ##  ## #  #  #     #
## # ## # # #      # z        #   #     # #  ##  # #    Z  ## # # ##   ##  # ##    #    #  #   ## # 
   #     ## # ####  #  # ## ## ##  # ####  #   # # # ## # ##  #  z   ##   #    ### # # # # # ####   
 #  ####     #    ##  ###  #     #  #    ## # #  # #  z  ##  ##### ##  # # # #   ##  #   # #   #  # 
 # #    # # #  ## #  # #  #  ### # #  ##      # #  ## ## #  ###      #      #  ##   # # ##  ##  ##  
  #  ##  #  # ##  # #    #  Z     #  # ### ###  # # #  # # # #  ### #  # ##  ##   ##      #   ##   #
 #  ## #  #Z  Z  #   # #  #  ####   #     #Z   #  # # #  #     z  ##  # #   #   ##   ### # ##    # #
   ##  # #   #  #  ##   #  # #   # # # ##   # ## #  #  # #####  #    ##  ##   # ## ##  #    ### ##  
 ##   #Z # ##  #  #   # # #  # #  #   #  # ###   ##  # #      # ####   #   ### #   # #  # #    #  # 
#   #   ##  # #  # # #   #  #   # # # # # z##  #    #  ## # #  #    ##  ##     # ##    # Z ## #  #  
  #  ###   ## # #    ## #  # ## #   #    #    ######  #  # # #   ##   #    ## #  ### #      # # #  #
 #  #    ##   Z # ##  #  #       ### # #  # ## #     #  Z     ### z##  ###   ## # #  # #####    # # 
 # #  # # # # #  ## #  #  ##### #     # # ##     ###  Z # # ##       #    ###   #   #  #  Z  ## # # 
z##  ###    #  # #  ##  #      #  # ##  #    ####   # #   # #  #####  ###   # ##  ##  #  ####  #  # 
    # #  ###  #  # #   #  # ##Z # #    # ####     #  #  ###  # #   # #   ## #   ##   #  ##   #   ## 
# ##  # #    #  #    ##  # #  #  #  # ##      # #  #  #    #     ##   # # # # # #  ##  #   ##  ##   
